Player ID,First Name,Last Name,Team ID,Team Abbreviation,Headshot,Sweater Number,Position,Goals,Assists,Points,Games Played,Plus/Minus
8481593,Jayden,Struble,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8481593.png,47,D,5,10,15,75,-7
8482964,Arber,Xhekaj,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8482964.png,72,D,8,18,26,117,-9
8478470,Sam,Montembeault,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8478470.png,35,G,0,3,0,163,0
8480051,Cayden,Primeau,8,MTL,https://assets.nhle.com/mugs/nhl/20242025/MTL/8480051.png,30,G,0,2,0,54,0
8478020,Michael,Amadio,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478020.png,22,R,59,58,117,393,-16
8480208,Drake,Batherson,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480208.png,19,R,99,151,250,333,-74
8476393,Nick,Cousins,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8476393.png,21,C,73,112,185,614,-23
8478874,Adam,Gaudette,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478874.png,81,R,39,44,83,243,-35
8473512,Claude,Giroux,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8473512.png,28,R,356,727,1083,1206,24
8479393,Noah,Gregor,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8479393.png,73,L,34,32,66,260,-61
8482092,Ridly,Greig,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482092.png,71,C,17,25,42,113,4
8480064,Josh,Norris,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480064.png,9,C,79,59,138,207,-32
8482859,Zack,Ostapchuk,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482859.png,38,C,0,1,1,17,0
8474102,David,Perron,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8474102.png,57,L,310,458,768,1140,-2
8481596,Shane,Pinto,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8481596.png,12,C,31,42,73,156,-13
8481133,Cole,Reinhardt,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8481133.png,51,L,1,1,2,6,-2
8482116,Tim,Stützle,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482116.png,18,C,101,176,277,309,-63
8480801,Brady,Tkachuk,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480801.png,7,L,175,202,377,464,-58
8480879,Jacob,Bernard-Docker,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8480879.png,24,D,4,15,19,118,-5
8478469,Thomas,Chabot,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8478469.png,72,D,63,209,272,456,-71
8474612,Travis,Hamonic,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8474612.png,23,D,52,184,236,864,-21
8475324,Nick,Jensen,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8475324.png,3,D,20,123,143,586,28
8482095,Tyler,Kleven,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482095.png,43,D,1,4,5,41,-5
8484321,Nikolas,Matinpalo,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8484321.png,33,D,0,0,0,4,1
8482105,Jake,Sanderson,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482105.png,85,D,15,69,84,180,-13
8482245,Artem,Zub,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8482245.png,2,D,17,56,73,261,5
8476341,Anton,Forsberg,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8476341.png,31,G,0,2,0,170,0
8476999,Linus,Ullmark,9,OTT,https://assets.nhle.com/mugs/nhl/20242025/OTT/8476999.png,35,G,1,3,0,262,0
8480980,Connor,Dewar,10,TOR,https://assets.nhle.com/mugs/nhl/20242025/TOR/8480980.png,24,C,19,24,43,199,-19
