Player ID,First Name,Last Name,Team Abbreviation,Sweater Number,Position,Goals,Assists,Points,Games Played,Plus/Minus
8477947,Sonny,Milano,WSH,15,L,62,75,137,313,-30
8483491,Ivan,Miroshnichenko,WSH,63,L,3,4,7,24,-3
8471698,T.J.,Oshie,WSH,77,R,302,393,695,1010,87
8471214,Alex,Ovechkin,WSH,8,L,868,707,1575,1444,60
8481656,Aliaksei,Protas,WSH,21,C,21,52,73,191,5
8479390,Taylor,Raddysh,WSH,16,R,39,43,82,247,-47
8475958,Michael,Sgarbossa,WSH,23,C,9,16,25,93,-1
8478440,Dylan,Strome,WSH,17,C,124,209,333,458,-29
8477944,Jakub,Vrana,WSH,13,L,114,102,216,383,30
8476880,Tom,Wilson,WSH,43,R,153,194,347,776,17
8480823,Alexander,Alexeyev,WSH,27,D,1,7,8,77,-6
8474590,John,Carlson,WSH,74,D,154,535,689,1031,99
8479345,Jakob,Chychrun,WSH,6,D,82,146,228,484,-60
8480796,Martin,Fehervary,WSH,42,D,17,37,54,240,-2
8475795,Dylan,McIlrath,WSH,52,D,3,6,9,85,-2
8478911,Matt,Roy,WSH,3,D,25,86,111,381,73
8480873,Rasmus,Sandin,WSH,38,D,19,78,97,249,16
8477845,Trevor,van Riemsdyk,WSH,57,D,24,112,136,623,16
8479292,Charlie,Lindgren,WSH,79,G,0,1,0,121,0
8480313,Logan,Thompson,WSH,48,G,0,3,0,114,0
8479315,Joey,Anderson,CHI,22,R,19,21,40,163,-8
8484144,Connor,Bedard,CHI,98,C,26,51,77,90,-48
8477479,Tyler,Bertuzzi,CHI,59,L,118,152,270,428,-46
8477450,Jason,Dickinson,CHI,16,C,65,81,146,465,-13
8477987,Ryan,Donato,CHI,8,C,85,92,177,423,-29
8473422,Nick,Foligno,CHI,17,L,238,333,571,1177,-29
8475791,Taylor,Hall,CHI,71,L,271,435,706,853,-32
8480798,Philipp,Kurashev,CHI,23,C,44,77,121,285,-116
8474034,Patrick,Maroon,CHI,77,L,122,189,311,799,20
8481624,Ilya,Mikheyev,CHI,95,R,62,73,135,290,35
8482117,Lukas,Reichel,CHI,73,L,14,26,40,117,-44
8475225,Craig,Smith,CHI,15,C,216,227,443,948,96
8476882,Teuvo,Teravainen,CHI,86,C,161,309,470,692,96
8482700,Nolan,Allan,CHI,42,D,0,4,4,17,-4
8474673,TJ,Brodie,CHI,78,D,56,296,352,927,79
8481806,Louis,Crevier,CHI,46,D,1,3,4,26,-16
8477495,Seth,Jones,CHI,4,D,92,323,415,814,-120
8482176,Wyatt,Kaiser,CHI,44,D,0,11,11,61,-2
8474166,Alec,Martinez,CHI,25,D,83,196,279,828,88
8476473,Connor,Murphy,CHI,5,D,41,108,149,699,-57
8481568,Alex,Vlasic,CHI,72,D,3,24,27,119,-8
8475852,Petr,Mrazek,CHI,34,G,0,5,0,406,0
8482821,Arvid,Soderblom,CHI,40,G,0,0,0,56,0
8481013,Jonatan,Berggren,DET,48,R,20,18,38,101,-19
8477456,J.T.,Compher,DET,37,L,110,139,249,521,-10
8477429,Andrew,Copp,DET,18,C,109,176,285,666,72
8479337,Alex,DeBrincat,DET,93,R,223,236,459,554,-53
8478432,Christian,Fischer,DET,36,R,62,71,133,498,-62
8474141,Patrick,Kane,DET,88,R,474,820,1294,1250,10
8477946,Dylan,Larkin,DET,71,C,224,300,524,674,-92
8477353,Tyler,Motte,DET,14,C,49,41,90,410,-30
8479992,Michael,Rasmussen,DET,27,C,52,73,125,334,-28
8482078,Lucas,Raymond,DET,23,L,77,119,196,260,-64
8475765,Vladimir,Tarasenko,DET,11,R,295,342,637,772,72
8480813,Joe,Veleno,DET,90,C,31,35,66,251,-47
8475279,Ben,Chiarot,DET,8,D,41,118,159,664,-53
8482762,Simon,Edvinsson,DET,77,D,6,8,14,46,-1
8476979,Erik,Gustafsson,DET,56,D,45,180,225,471,-2
8475718,Justin,Holl,DET,3,D,11,78,89,338,68
8481607,Albert,Johansson,DET,20,D,0,1,1,12,-4
8473507,Jeff,Petry,DET,46,D,95,284,379,955,-133
8481542,Moritz,Seider,DET,53,D,23,124,147,268,-25
8479312,Alex,Lyon,DET,34,G,0,1,0,92,0
8475660,Cam,Talbot,DET,39,G,0,7,0,499,0
8482146,Luke,Evangelista,NSH,77,R,25,37,62,125,8
8476887,Filip,Forsberg,NSH,9,L,296,326,622,721,37
8476873,Mark,Jankowski,NSH,17,C,56,53,109,369,1
8482742,Zachary,L'Heureux,NSH,68,L,2,3,5,18,-4
8476539,Jonathan,Marchessault,NSH,81,C,234,265,499,661,24
8477446,Michael,McCarron,NSH,47,R,25,27,52,246,-14
8478438,Tommy,Novak,NSH,82,C,39,60,99,166,-3
8474679,Gustav,Nyquist,NSH,14,C,204,309,513,807,-17
8475158,Ryan,O'Reilly,NSH,90,C,286,498,784,1096,-8
8481704,Juuso,Parssinen,NSH,13,C,16,26,42,102,-12
8476925,Colton,Sissons,NSH,10,C,90,112,202,640,16
8482062,Cole,Smith,NSH,36,L,15,29,44,181,-9
8474564,Steven,Stamkos,NSH,91,C,562,586,1148,1105,32
